ts_l_ns,ts_r_ns,delta_ms
7879709329000,7879728258000,18.929
7879745029000,7879763957000,18.928
7879780729000,7879799656000,18.927
7879816428000,7879835356000,18.928
7879852128000,7879871055000,18.927
7879887828000,7879906755000,18.927
7879923528000,7879942455000,18.927
7879959227000,7879978154000,18.927
7879994927000,7880013854000,18.927
7880030627000,7880049553000,18.926
7880066327000,7880085253000,18.926
7880102027000,7880120952000,18.925
7880137726000,7880156652000,18.926
7880173426000,7880192352000,18.926
7880209126000,7880228052000,18.926
7880244825000,7880263751000,18.926
7880280525000,7880299450000,18.925
7880316226000,7880335150000,18.924
7880351925000,7880370850000,18.925
7880387625000,7880406549000,18.924
7880423325000,7880442249000,18.924
7880459024000,7880477948000,18.924
7880494724000,7880513648000,18.924
7880530424000,7880549348000,18.924
7880566124000,7880585047000,18.923
7880601823000,7880620747000,18.924
7880637523000,7880656446000,18.923
7880673223000,7880692146000,18.923
7880708923000,7880727845000,18.922
7880744622000,7880763545000,18.923
7880780322000,7880799244000,18.922
7880816022000,7880834944000,18.922
7880851721000,7880870644000,18.923
7880887421000,7880906343000,18.922
7880923121000,7880942043000,18.922
7880958821000,7880977742000,18.921
7880994521000,7881013442000,18.921
7881030221000,7881049142000,18.921
7881065920000,7881084841000,18.921
7881101620000,7881120541000,18.921
7881137320000,7881156241000,18.921
7881173019000,7881191940000,18.921
7881208719000,7881227639000,18.92
7881244419000,7881263339000,18.92
7881280119000,7881299038000,18.919
7881315819000,7881334738000,18.919
7881351518000,7881370438000,18.92
7881387218000,7881406137000,18.919
7881422918000,7881441837000,18.919
7881458618000,7881477536000,18.918
7881494317000,7881513236000,18.919
7881530017000,7881548937000,18.92
7881565717000,7881584635000,18.918
7881601417000,7881620335000,18.918
7881637117000,7881656035000,18.918
7881672816000,7881691734000,18.918
7881708516000,7881727434000,18.918
7881744216000,7881763133000,18.917
7881779916000,7881798833000,18.917
7881815615000,7881834532000,18.917
7881851315000,7881870232000,18.917
7881887015000,7881905932000,18.917
7881922715000,7881941631000,18.916
7881958414000,7881977330000,18.916
7881994114000,7882013030000,18.916
7882029814000,7882048730000,18.916
7882065514000,7882084429000,18.915
7882101213000,7882120130000,18.917
7882136913000,7882155828000,18.915
7882172613000,7882191528000,18.915
7882208313000,7882227228000,18.915
7882244013000,7882262927000,18.914
7882279712000,7882298627000,18.915
7882315412000,7882334326000,18.914
7882351112000,7882370026000,18.914
7882386812000,7882405725000,18.913
7882422512000,7882441425000,18.913
7882458211000,7882477125000,18.914
7882493911000,7882512824000,18.913
7882529610000,7882548524000,18.914
7882565310000,7882584224000,18.914
7882601010000,7882619923000,18.913
7882636710000,7882655622000,18.912
7882672410000,7882691322000,18.912
7882708110000,7882727022000,18.912
7882743809000,7882762721000,18.912
7882779509000,7882798421000,18.912
7882815209000,7882834120000,18.911
7882850908000,7882869820000,18.912
7882886608000,7882905520000,18.912
7882922308000,7882941219000,18.911
7882958008000,7882976919000,18.911
7882993708000,7883012618000,18.91
7883029408000,7883048319000,18.911
7883065107000,7883084019000,18.912
7883100807000,7883119717000,18.91
7883136507000,7883155416000,18.909
7883172206000,7883191116000,18.91
7883207906000,7883226816000,18.91
7883243606000,7883262515000,18.909
7883279306000,7883298215000,18.909
7883315005000,7883333914000,18.909
7883350705000,7883369614000,18.909
7883386405000,7883405313000,18.908
7883422105000,7883441014000,18.909
7883457805000,7883476714000,18.909
7883493505000,7883512413000,18.908
7883529205000,7883548113000,18.908
7883564905000,7883583812000,18.907
7883600604000,7883619512000,18.908
7883636305000,7883655212000,18.907
7883672004000,7883690911000,18.907
7883707703000,7883726611000,18.908
7883743403000,7883762310000,18.907
7883779103000,7883798010000,18.907
7883814803000,7883833709000,18.906
7883850503000,7883869409000,18.906
7883886202000,7883905109000,18.907
7883921902000,7883940808000,18.906
7883957602000,7883976508000,18.906
7883993302000,7884012208000,18.906
7884029002000,7884047908000,18.906
7884064701000,7884083607000,18.906
7884100402000,7884119306000,18.904
7884136101000,7884155006000,18.905
7884171800000,7884190705000,18.905
7884207500000,7884226405000,18.905
7884243200000,7884262104000,18.904
7884278900000,7884297804000,18.904
7884314600000,7884333504000,18.904
7884350299000,7884369203000,18.904
7884385999000,7884404903000,18.904
7884421699000,7884440602000,18.903
7884457399000,7884476303000,18.904
7884493098000,7884512001000,18.903
7884528798000,7884547701000,18.903
7884564498000,7884583401000,18.903
7884600198000,7884619100000,18.902
