frame,cap,rect,detect,depth,det,mode,track,n_tracks,n_dets,total,fps
1925,14,5,17,0,N,none,0,0,0,35,28.4
1926,14,5,19,0,N,none,0,0,0,37,26.8
1927,13,6,16,0,N,none,0,0,0,36,28.1
1928,12,5,16,0,N,none,0,0,0,34,29.7
1929,13,5,16,0,N,none,0,0,0,35,28.9
1930,13,5,17,0,N,none,0,0,0,34,29.3
1931,13,5,17,0,N,none,0,0,0,36,28.0
1932,13,5,17,0,N,none,0,0,0,34,29.2
1933,13,5,17,0,N,none,0,0,0,35,28.2
1934,13,5,16,0,N,none,0,0,0,33,30.0
1935,15,5,16,0,N,none,0,0,0,35,28.3
1936,14,5,16,0,N,none,0,0,0,35,28.3
1937,14,5,16,0,N,none,0,0,0,35,28.4
1938,14,5,16,0,N,none,0,0,0,35,28.8
1939,13,6,17,0,N,none,0,0,0,36,27.5
1940,14,6,18,0,N,none,0,0,0,39,25.6
1941,10,6,17,0,N,none,0,0,0,33,30.2
1942,10,5,19,0,N,none,0,0,0,35,28.7
1943,10,6,17,0,N,none,0,0,0,34,29.7
1944,12,6,17,0,N,none,0,0,0,35,28.8
1945,15,8,17,0,N,none,0,0,0,40,25.1
1946,8,5,17,0,N,none,0,0,0,30,33.9
1947,13,5,17,0,N,none,0,0,0,34,29.2
1948,13,4,14,0,N,none,0,0,0,32,31.3
1949,15,4,14,0,N,none,0,0,0,34,29.6
1950,17,4,14,0,N,none,0,0,0,35,28.4
1951,18,4,14,0,N,none,0,0,0,36,27.6
1952,16,4,14,0,N,none,0,0,0,35,28.8
1953,17,4,15,0,N,none,0,0,0,35,28.2
1954,17,4,15,0,N,none,0,0,0,35,28.2
1955,17,4,15,0,N,none,0,0,0,36,28.0
1956,16,4,14,0,N,none,0,0,0,35,28.8
1957,17,4,15,0,N,none,0,0,0,36,28.0
1958,17,4,14,0,N,none,0,0,0,35,28.6
1959,18,4,15,0,N,none,0,0,0,37,27.3
1960,16,4,14,0,N,none,0,0,0,34,29.5
1961,17,4,14,0,N,none,0,0,0,36,28.2
1962,17,4,15,0,N,none,0,0,0,36,28.0
1963,17,4,15,0,N,none,0,0,0,36,28.1
1964,17,5,15,0,N,none,0,0,0,36,27.5
1965,15,4,15,0,N,none,0,0,0,34,29.2
1966,16,4,15,0,N,none,0,0,0,35,28.6
1967,17,4,14,0,N,none,0,0,0,35,28.7
1968,17,4,14,0,N,none,0,0,0,35,28.4
1969,17,5,16,0,N,none,0,0,0,37,26.8
1970,15,4,14,0,N,none,0,0,0,34,29.7
1971,17,4,15,0,N,none,0,0,0,35,28.3
1972,17,4,14,0,N,none,0,0,0,36,28.1
1973,16,4,14,0,N,none,0,0,0,35,29.0
1974,18,4,15,0,N,none,0,0,0,37,27.0
1975,16,4,14,0,N,none,0,0,0,34,29.4
1976,17,4,15,0,N,none,0,0,0,35,28.2
1977,17,4,14,0,N,none,0,0,0,36,28.1
1978,16,4,15,0,N,none,0,0,0,35,28.8
1979,17,4,15,0,N,none,0,0,0,35,28.3
1980,18,4,14,0,N,none,0,0,0,36,27.5
1981,17,5,14,0,N,none,0,0,0,36,27.8
1982,15,4,14,0,N,none,0,0,0,34,29.8
1983,17,4,15,0,N,none,0,0,0,36,28.1
1984,17,4,14,0,N,none,0,0,0,35,28.2
1985,16,4,14,0,N,none,0,0,0,35,28.8
1986,17,4,14,0,N,none,0,0,0,35,28.2
1987,17,4,14,0,N,none,0,0,0,35,28.3
1988,17,4,14,0,N,none,0,0,0,35,28.5
1989,17,4,14,0,N,none,0,0,0,36,28.1
1990,17,4,14,0,N,none,0,0,0,35,28.3
1991,17,4,14,0,N,none,0,0,0,35,28.5
1992,17,4,15,0,N,none,0,0,0,36,27.7
1993,16,4,15,0,N,none,0,0,0,35,28.5
1994,17,4,15,0,N,none,0,0,0,35,28.3
1995,16,4,14,0,N,none,0,0,0,35,28.8
1996,17,4,15,0,N,none,0,0,0,36,27.8
1997,17,5,15,0,N,none,0,0,0,36,27.5
